country,iso3c,region,cod_dep_inei,cod_dep_reniec,iso_3166_2_code,date,confirmed,deaths,recovered,discarded_cases,pob_2017
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,2020-03-19,6,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,2020-03-19,194,3,0,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,2020-03-19,2,0,0,NA,1856809
Peru,PER,LORETO,16,15,PE-LOR,2020-03-19,11,0,0,NA,883510
Peru,PER,MADRE DE DIOS,17,16,PE-MDD,2020-03-19,1,0,0,NA,141070
Peru,PER,NA,NA,NA,NA,2020-03-19,234,3,0,3607,NA
Peru,PER,JUNIN,12,11,PE-JUN,2020-03-20,9,0,0,NA,1246038
Peru,PER,ANCASH,02,02,PE-ANC,2020-03-20,4,0,0,NA,1083519
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-20,3,0,0,NA,1382730
Peru,PER,CALLAO,07,24,PE-CAL,2020-03-20,5,0,0,NA,994494
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-20,4,0,0,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-20,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-20,1,0,0,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,2020-03-20,2,0,0,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,2020-03-20,6,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,2020-03-20,212,4,0,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,2020-03-20,2,0,0,NA,1856809
Peru,PER,LORETO,16,15,PE-LOR,2020-03-20,12,0,0,NA,883510
Peru,PER,MADRE DE DIOS,17,16,PE-MDD,2020-03-20,1,0,0,NA,141070
Peru,PER,NA,NA,NA,NA,2020-03-20,263,4,0,4035,NA
Peru,PER,JUNIN,12,11,PE-JUN,2020-03-21,10,0,0,NA,1246038
Peru,PER,ANCASH,02,02,PE-ANC,2020-03-21,4,0,0,NA,1083519
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-21,4,0,0,NA,1382730
Peru,PER,CALLAO,07,24,PE-CAL,2020-03-21,6,0,0,NA,994494
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-21,4,0,0,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-21,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-21,1,0,0,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,2020-03-21,5,0,0,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,2020-03-21,8,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,2020-03-21,241,4,0,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,2020-03-21,18,1,0,NA,1856809
Peru,PER,LORETO,16,15,PE-LOR,2020-03-21,14,0,0,NA,883510
Peru,PER,MADRE DE DIOS,17,16,PE-MDD,2020-03-21,1,0,0,NA,141070
Peru,PER,NA,NA,NA,NA,2020-03-21,318,5,0,6209,NA
